:START_ID(Service),:END_ID(Keyword),:TYPE
srv-crack-seal-and-sealcoat-package,kw-sealcoating-crack-sealing,HAS_KEYWORD
srv-crack-seal-and-sealcoat-package,kw-preventative-maintenance,HAS_KEYWORD
srv-crack-seal-and-sealcoat-package,kw-crack-filling,HAS_KEYWORD
srv-crack-seal-and-sealcoat-package,kw-sealcoating,HAS_KEYWORD
srv-fog-seal,kw-preventative-maintenance,HAS_KEYWORD
srv-chip-seal,kw-chip-seal,HAS_KEYWORD
srv-chip-seal,kw-preventative-maintenance,HAS_KEYWORD
srv-cape-seal,kw-chip-seal,HAS_KEYWORD
srv-cape-seal,kw-preventative-maintenance,HAS_KEYWORD
srv-slurry-seal,kw-preventative-maintenance,HAS_KEYWORD
srv-microsurfacing,kw-preventative-maintenance,HAS_KEYWORD
srv-porous-asphalt,kw-porous-asphalt,HAS_KEYWORD
srv-porous-asphalt,kw-commercial-paving,HAS_KEYWORD
srv-warm-mix-asphalt,kw-warm-mix-asphalt,HAS_KEYWORD
srv-warm-mix-asphalt,kw-asphalt-paving,HAS_KEYWORD
srv-warm-mix-asphalt,kw-recycled-asphalt,HAS_KEYWORD
srv-high-rap-mixes,kw-recycled-asphalt,HAS_KEYWORD
srv-high-rap-mixes,kw-asphalt-paving,HAS_KEYWORD
srv-colored-asphalt,kw-asphalt-paving,HAS_KEYWORD
srv-rubberized-asphalt,kw-asphalt-paving,HAS_KEYWORD
srv-rubberized-asphalt,kw-recycled-asphalt,HAS_KEYWORD
srv-grading-excavation,kw-grading-excavation,HAS_KEYWORD
srv-grading-excavation,kw-base-work,HAS_KEYWORD
srv-land-clearing,kw-land-clearing,HAS_KEYWORD
srv-land-clearing,kw-grading-excavation,HAS_KEYWORD
srv-base-installation,kw-base-work,HAS_KEYWORD
srv-base-installation,kw-gravel-work,HAS_KEYWORD
srv-subgrade-stabilization,kw-base-work,HAS_KEYWORD
srv-subgrade-stabilization,kw-grading-excavation,HAS_KEYWORD
srv-drainage-installation,kw-grading-excavation,HAS_KEYWORD
srv-drainage-installation,kw-drainage-issues,HAS_KEYWORD
srv-demolition-removal,kw-tear-out,HAS_KEYWORD
srv-demolition-removal,kw-asphalt-repair,HAS_KEYWORD
srv-parking-lot-striping,kw-pavement-marking,HAS_KEYWORD
srv-parking-lot-striping,kw-parking-lot-paving,HAS_KEYWORD
srv-roadway-striping,kw-pavement-marking,HAS_KEYWORD
srv-thermoplastic-marking,kw-pavement-marking,HAS_KEYWORD
srv-ada-compliance-marking,kw-pavement-marking,HAS_KEYWORD
srv-ada-compliance-marking,kw-parking-lot-paving,HAS_KEYWORD
srv-annual-maintenance-residential,kw-preventative-maintenance,HAS_KEYWORD
srv-annual-maintenance-residential,kw-asphalt-driveway,HAS_KEYWORD
srv-annual-maintenance-residential,kw-sealcoating,HAS_KEYWORD
srv-commercial-maintenance-program,kw-preventative-maintenance,HAS_KEYWORD
srv-commercial-maintenance-program,kw-parking-lot,HAS_KEYWORD
srv-commercial-maintenance-program,kw-commercial-paving,HAS_KEYWORD
srv-municipal-pavement-management,kw-preventative-maintenance,HAS_KEYWORD
srv-airport-paving,kw-asphalt-paving,HAS_KEYWORD
srv-airport-paving,kw-commercial-paving,HAS_KEYWORD
srv-industrial-heavy-duty-paving,kw-asphalt-paving,HAS_KEYWORD
srv-industrial-heavy-duty-paving,kw-commercial-paving,HAS_KEYWORD
srv-bike-path-trail-paving,kw-asphalt-paving,HAS_KEYWORD
srv-sports-facility-paving,kw-asphalt-paving,HAS_KEYWORD
srv-cold-climate-paving,kw-asphalt-paving,HAS_KEYWORD
srv-cold-climate-paving,kw-pothole-repair,HAS_KEYWORD
srv-hot-climate-paving,kw-asphalt-paving,HAS_KEYWORD
srv-coastal-hurricane-zone-paving,kw-asphalt-paving,HAS_KEYWORD
srv-coastal-hurricane-zone-paving,kw-asphalt-repair,HAS_KEYWORD
srv-emergency-asphalt-repair,kw-pothole-repair,HAS_KEYWORD
srv-emergency-asphalt-repair,kw-asphalt-repair,HAS_KEYWORD
srv-utility-cut-repair,kw-asphalt-repair,HAS_KEYWORD
srv-utility-cut-repair,kw-patching,HAS_KEYWORD
srv-sinkhole-repair,kw-asphalt-repair,HAS_KEYWORD
srv-sinkhole-repair,kw-patching,HAS_KEYWORD
srv-surface-cleaning-sweeping,kw-surface-cleaning,HAS_KEYWORD
srv-surface-cleaning-sweeping,kw-parking-lot,HAS_KEYWORD
