:START_ID(Location),:END_ID(Location),:TYPE
loc-columbus-wi,loc-portage-wi,NEAR
loc-columbus-wi,loc-marshall-wi,NEAR
loc-jefferson-wi,loc-watertown-wi,NEAR
loc-jefferson-wi,loc-fort-atkinson-wi,NEAR
loc-jefferson-wi,loc-lake-mills-wi,NEAR
loc-richland-center-wi,loc-dodgeville-wi,NEAR
loc-richland-center-wi,loc-spring-green-wi,NEAR
loc-dodgeville-wi,loc-mount-horeb-wi,NEAR
loc-dodgeville-wi,loc-mineral-point-wi,NEAR
loc-dodgeville-wi,loc-spring-green-wi,NEAR
loc-spring-green-wi,loc-dodgeville-wi,NEAR
loc-spring-green-wi,loc-reedsburg-wi,NEAR
loc-spring-green-wi,loc-prairie-du-sac-wi,NEAR
loc-prairie-du-sac-wi,loc-sauk-city-wi,NEAR
loc-prairie-du-sac-wi,loc-baraboo-wi,NEAR
loc-prairie-du-sac-wi,loc-cross-plains-wi,NEAR
loc-sauk-city-wi,loc-prairie-du-sac-wi,NEAR
loc-sauk-city-wi,loc-baraboo-wi,NEAR
loc-sauk-city-wi,loc-cross-plains-wi,NEAR
loc-cross-plains-wi,loc-middleton-wi,NEAR
loc-cross-plains-wi,loc-mount-horeb-wi,NEAR
loc-cross-plains-wi,loc-sauk-city-wi,NEAR
loc-lodi-wi,loc-prairie-du-sac-wi,NEAR
loc-lodi-wi,loc-portage-wi,NEAR
loc-lodi-wi,loc-dane-wi,NEAR
loc-pardeeville-wi,loc-portage-wi,NEAR
loc-pardeeville-wi,loc-columbus-wi,NEAR
loc-poynette-wi,loc-portage-wi,NEAR
loc-poynette-wi,loc-lodi-wi,NEAR
loc-mazomanie-wi,loc-cross-plains-wi,NEAR
loc-mazomanie-wi,loc-sauk-city-wi,NEAR
loc-mazomanie-wi,loc-black-earth-wi,NEAR
loc-black-earth-wi,loc-cross-plains-wi,NEAR
loc-black-earth-wi,loc-mazomanie-wi,NEAR
loc-cambridge-wi,loc-deerfield-wi,NEAR
loc-cambridge-wi,loc-lake-mills-wi,NEAR
loc-cambridge-wi,loc-fort-atkinson-wi,NEAR
loc-brooklyn-wi,loc-evansville-wi,NEAR
loc-brooklyn-wi,loc-belleville-wi,NEAR
loc-waterloo-wi,loc-marshall-wi,NEAR
loc-waterloo-wi,loc-lake-mills-wi,NEAR
loc-waterloo-wi,loc-columbus-wi,NEAR
loc-fayetteville-ar,loc-springdale-ar,NEAR
loc-fayetteville-ar,loc-rogers-ar,NEAR
loc-fayetteville-ar,loc-bentonville-ar,NEAR
loc-springdale-ar,loc-fayetteville-ar,NEAR
loc-springdale-ar,loc-rogers-ar,NEAR
loc-springdale-ar,loc-bentonville-ar,NEAR
loc-rogers-ar,loc-bentonville-ar,NEAR
loc-rogers-ar,loc-springdale-ar,NEAR
loc-rogers-ar,loc-fayetteville-ar,NEAR
loc-bentonville-ar,loc-rogers-ar,NEAR
loc-bentonville-ar,loc-springdale-ar,NEAR
loc-bentonville-ar,loc-fayetteville-ar,NEAR
loc-springfield-mo,loc-republic-mo,NEAR
loc-springfield-mo,loc-nixa-mo,NEAR
loc-springfield-mo,loc-strafford-mo,NEAR
loc-springfield-mo,loc-willard-mo,NEAR
loc-republic-mo,loc-springfield-mo,NEAR
loc-republic-mo,loc-willard-mo,NEAR
loc-republic-mo,loc-nixa-mo,NEAR
loc-neosho-mo,loc-joplin-mo,NEAR
loc-neosho-mo,loc-springfield-mo,NEAR
loc-willard-mo,loc-springfield-mo,NEAR
loc-willard-mo,loc-republic-mo,NEAR
loc-willard-mo,loc-strafford-mo,NEAR
loc-strafford-mo,loc-springfield-mo,NEAR
loc-strafford-mo,loc-republic-mo,NEAR
loc-nixa-mo,loc-springfield-mo,NEAR
loc-nixa-mo,loc-republic-mo,NEAR
loc-nixa-mo,loc-ozark-mo,NEAR
loc-joplin-mo,loc-neosho-mo,NEAR
loc-joplin-mo,loc-webb-city-mo,NEAR
loc-joplin-mo,loc-carthage-mo,NEAR
loc-davenport-fl,loc-haines-city-fl,NEAR
loc-davenport-fl,loc-kissimmee-fl,NEAR
loc-jacksonville-fl,loc-st-augustine-fl,NEAR
loc-jacksonville-fl,loc-orange-park-fl,NEAR
loc-ocala-fl,loc-gainesville-fl,NEAR
loc-ocala-fl,loc-the-villages-fl,NEAR
loc-williston-fl,loc-ocala-fl,NEAR
loc-williston-fl,loc-chiefland-fl,NEAR
loc-morriston-fl,loc-williston-fl,NEAR
loc-morriston-fl,loc-ocala-fl,NEAR
loc-reddick-fl,loc-ocala-fl,NEAR
loc-fellowship-fl,loc-ocala-fl,NEAR
loc-fellowship-fl,loc-the-villages-fl,NEAR
loc-crystal-river-fl,loc-homosassa-fl,NEAR
loc-crystal-river-fl,loc-inverness-fl,NEAR
loc-bushnell-fl,loc-the-villages-fl,NEAR
loc-bushnell-fl,loc-wildwood-fl,NEAR
loc-spring-hill-fl,loc-brooksville-fl,NEAR
loc-spring-hill-fl,loc-hudson-fl,NEAR
loc-spring-hill-fl,loc-clearwater-fl,NEAR
loc-newport-fl,loc-st-marks-fl,NEAR
loc-newport-fl,loc-crawfordville-fl,NEAR
loc-clearwater-fl,loc-tampa-fl,NEAR
loc-clearwater-fl,loc-st-petersburg-fl,NEAR
loc-clearwater-fl,loc-dunedin-fl,NEAR
loc-brandon-fl,loc-tampa-fl,NEAR
loc-brandon-fl,loc-valrico-fl,NEAR
loc-brandon-fl,loc-riverview-fl,NEAR
loc-sarasota-fl,loc-bradenton-fl,NEAR
loc-sarasota-fl,loc-venice-fl,NEAR
loc-sarasota-fl,loc-longboat-key-fl,NEAR
loc-venice-fl,loc-sarasota-fl,NEAR
loc-venice-fl,loc-north-port-fl,NEAR
loc-venice-fl,loc-englewood-fl,NEAR
loc-arcadia-fl,loc-punta-gorda-fl,NEAR
loc-arcadia-fl,loc-port-charlotte-fl,NEAR
loc-avon-park-fl,loc-sebring-fl,NEAR
loc-avon-park-fl,loc-lake-placid-fl,NEAR
loc-melbourne-fl,loc-palm-bay-fl,NEAR
loc-melbourne-fl,loc-viera-fl,NEAR
loc-melbourne-fl,loc-cocoa-fl,NEAR
loc-tampa-fl,loc-brandon-fl,NEAR
loc-tampa-fl,loc-clearwater-fl,NEAR
loc-tampa-fl,loc-st-petersburg-fl,NEAR
loc-tampa-fl,loc-plant-city-fl,NEAR
loc-carrollwood-fl,loc-tampa-fl,NEAR
loc-carrollwood-fl,loc-westchase-fl,NEAR
loc-carrollwood-fl,loc-lutz-fl,NEAR
loc-westchase-fl,loc-tampa-fl,NEAR
loc-westchase-fl,loc-carrollwood-fl,NEAR
loc-westchase-fl,loc-oldsmar-fl,NEAR
loc-harbour-island-fl,loc-tampa-fl,NEAR
loc-harbour-island-fl,loc-davis-islands-fl,NEAR
loc-davis-islands-fl,loc-tampa-fl,NEAR
loc-davis-islands-fl,loc-harbour-island-fl,NEAR
loc-riverview-fl,loc-brandon-fl,NEAR
loc-riverview-fl,loc-tampa-fl,NEAR
loc-riverview-fl,loc-apollo-beach-fl,NEAR
loc-wesley-chapel-fl,loc-tampa-fl,NEAR
loc-wesley-chapel-fl,loc-lutz-fl,NEAR
loc-wesley-chapel-fl,loc-zephyrhills-fl,NEAR
loc-valrico-fl,loc-brandon-fl,NEAR
loc-valrico-fl,loc-riverview-fl,NEAR
loc-valrico-fl,loc-plant-city-fl,NEAR
loc-lutz-fl,loc-tampa-fl,NEAR
loc-lutz-fl,loc-wesley-chapel-fl,NEAR
loc-lutz-fl,loc-carrollwood-fl,NEAR
loc-seffner-fl,loc-brandon-fl,NEAR
loc-seffner-fl,loc-tampa-fl,NEAR
loc-seffner-fl,loc-plant-city-fl,NEAR
loc-plant-city-fl,loc-brandon-fl,NEAR
loc-plant-city-fl,loc-lakeland-fl,NEAR
loc-plant-city-fl,loc-dover-fl,NEAR
loc-apollo-beach-fl,loc-riverview-fl,NEAR
loc-apollo-beach-fl,loc-ruskin-fl,NEAR
loc-apollo-beach-fl,loc-sun-city-center-fl,NEAR
loc-odessa-fl,loc-lutz-fl,NEAR
loc-odessa-fl,loc-wesley-chapel-fl,NEAR
loc-odessa-fl,loc-keystone-fl,NEAR
loc-beach-park-fl,loc-st-petersburg-fl,NEAR
loc-beach-park-fl,loc-clearwater-fl,NEAR
